hltv_name,year,rating_version,rating,adr,kast,clutching,found,steamid
ropz,2024,Rating 3.0,1.12,75.9,74.3,64,yes,76561197991272318
ropz,2025,Rating 3.0,1.16,78.6,76.2,65,yes,76561197991272318
huNter-,2024,Rating 3.0,1.01,71.3,72.7,42,yes,76561198012872053
huNter-,2025,Rating 3.0,1.01,72.1,73.6,53,yes,76561198012872053
frozen,2024,Rating 3.0,1.14,81.0,74.5,58,yes,76561198068422762
frozen,2025,Rating 3.0,1.17,81.0,75.0,75,yes,76561198068422762
NiKo,2024,Rating 3.0,1.2,82.3,73.7,52,yes,76561198041683378
NiKo,2025,Rating 3.0,1.14,81.4,73.2,59,yes,76561198041683378
karrigan,2024,Rating 3.0,0.87,64.1,67.7,34,yes,76561197989430253
karrigan,2025,Rating 3.0,0.87,62.1,68.0,34,yes,76561197989430253
broky,2024,Rating 3.0,1.08,73.1,75.7,73,yes,76561198201620490
broky,2025,Rating 3.0,1.04,70.8,75.0,79,yes,76561198201620490
m0NESY,2024,Rating 3.0,1.29,82.7,76.7,83,yes,76561198074762801
m0NESY,2025,Rating 3.0,1.25,81.5,76.0,76,yes,76561198074762801
ZywOo,2024,Rating 3.0,1.36,88.9,77.7,81,yes,76561198113666193
ZywOo,2025,Rating 3.0,1.32,87.1,77.5,67,yes,76561198113666193
flameZ,2024,Rating 3.0,1.1,74.7,75.5,54,yes,76561197978835160
flameZ,2025,Rating 3.0,1.12,75.1,74.9,38,yes,76561197978835160
apEX,2024,Rating 3.0,0.93,69.0,71.2,35,yes,76561197989744167
apEX,2025,Rating 3.0,0.93,69.1,70.6,42,yes,76561197989744167
Spinx,2024,Rating 3.0,1.12,78.2,75.5,65,yes,76561198063336407
Spinx,2025,Rating 3.0,1.11,78.3,74.3,44,yes,76561198063336407
mezii,2024,Rating 3.0,1.03,68.0,74.9,54,yes,76561197973140692
mezii,2025,Rating 3.0,1.08,69.8,75.5,61,yes,76561197973140692
rain,2024,Rating 3.0,1.04,75.3,71.4,42,yes,76561197997351207
rain,2025,Rating 3.0,1.04,74.7,72.0,35,yes,76561197997351207
Twistzz,2024,Rating 3.0,1.17,79.7,76.1,50,yes,76561198016255205
Twistzz,2025,Rating 3.0,1.16,80.1,75.3,57,yes,76561198016255205
Ex3rcice,2025,Rating 3.0,1.02,70.4,70.9,66,yes,76561198168198200
NAF,2024,Rating 3.0,1.15,80.7,76.7,50,yes,76561198001151695
NAF,2025,Rating 3.0,1.01,73.5,72.7,64,yes,76561198001151695
Maka,2025,Rating 3.0,1.05,71.8,72.4,63,yes,76561198045739761
Lucky,2025,Rating 3.0,1.02,73.5,72.9,51,yes,76561198031890115
Graviti,2025,Rating 3.0,0.98,69.1,70.5,47,yes,76561198179538505
fame,2024,Rating 3.0,1.05,70.4,73.5,54,yes,76561198080114546
fame,2025,Rating 3.0,1.04,72.6,71.9,48,yes,76561198080114546
FL1T,2024,3.0,1.03,78.0,73.1,47,yes,76561197995817501
FL1T,2025,3.0,1.07,80.3,73.5,48,yes,76561197995817501
Brollan,2024,3.0,1.09,76.7,72.7,46,yes,76561198138828475
Brollan,2025,3.0,0.95,67.2,70.7,36,yes,76561198138828475
torzsi,2024,3.0,1.06,71.7,72.5,70,yes,76561198355739212
torzsi,2025,3.0,1.07,70.1,75.0,65,yes,76561198355739212
xertioN,2024,3.0,1.12,81.7,72.2,41,yes,76561198193174134
xertioN,2025,3.0,1.09,82.1,72.8,32,yes,76561198193174134
Jimpphat,2024,3.0,1.17,76.5,76.7,78,yes,76561198855375325
Jimpphat,2025,3.0,1.04,70.9,75.4,59,yes,76561198855375325
iM,2024,3.0,1.06,79.3,70.5,39,yes,76561198050250233
iM,2025,3.0,1.09,78.5,73.7,43,yes,76561198050250233
